#	Atomic	number	Z=	34	Date:31-10-2019											
																
#	Number	Shelli	2Ji	Eigi	--->	Shellf	2Jf	Eigf	Energy(eV)	BranchingRatio	LevelRadYield	Intensity(eV)	Weight(%)	RadWidth(eV)	AugWidth(eV)	TotWidth(eV)
	151	K1K1	2	1	--->	K1L2	2	13	11541.34	0.00110004	0.5980881	1.518657	20	4.483092	3.012614	7.495706
	152	K1K1	2	1	--->	K1L2	2	14	11539.02	2.08234E-06	0.5980881	0.002874187	20	4.484318	3.013438	7.497756
	153	K1K1	2	1	--->	K1L2	4	9	11550.78	0.000224346	0.5980881	0.3099737	20	4.012787	2.696571	6.709358
	154	K1K1	2	1	--->	K1L2	4	10	11548.78	0.000652292	0.5980881	0.9011012	20	4.013916	2.69733	6.711246
	155	K1K1	2	1	--->	K1L2	4	11	11543.66	0.01475232	0.5980881	20.37038	20	4.49057	3.017639	7.508209
	156	K1K1	2	1	--->	K1L2	4	12	11543.27	0.2629759	0.5980881	363.1115	20	4.479364	3.010108	7.489472
	157	K1K1	2	1	--->	K1L2	4	13	11541.59	0.008228313	0.5980881	11.35982	20	4.474364	3.006748	7.481112
	158	K1K1	2	1	--->	K1L3	0	1	11600.2	6.07099E-06	0.5980881	0.008424032	20	4.033255	2.710325	6.743581
	159	K1K1	2	1	--->	K1L3	0	2	11597.6	5.93146E-05	0.5980881	0.08228579	20	4.020189	2.701545	6.721734
	160	K1K1	2	1	--->	K1L3	0	3	11585.33	0.03821199	0.5980881	52.95455	20	4.32291	2.904972	7.227881
	161	K1K1	2	1	--->	K1L3	2	1	11599.96	4.56404E-05	0.5980881	0.06332879	20	4.032277	2.709668	6.741945
	162	K1K1	2	1	--->	K1L3	2	2	11599.2	8.38535E-06	0.5980881	0.01163441	20	4.032288	2.709676	6.741964
	163	K1K1	2	1	--->	K1L3	2	3	11597.79	7.49689E-05	0.5980881	0.1040043	20	4.010825	2.695253	6.706078
	164	K1K1	2	1	--->	K1L3	2	4	11585.78	0.001515014	0.5980881	2.099603	20	4.343408	2.918747	7.262155
	165	K1K1	2	1	--->	K1L3	2	5	11585.32	0.04340264	0.5980881	60.14775	20	4.330803	2.910276	7.241079
	166	K1K1	2	1	--->	K1L3	2	6	11585.12	0.07025215	0.5980881	97.35435	20	4.332675	2.911534	7.244209
	167	K1K1	2	1	--->	K1L3	2	7	11583.63	0.000681	0.5980881	0.9435974	20	4.326646	2.907483	7.234129
	168	K1K1	2	1	--->	K1L3	2	8	11581.09	8.93985E-06	0.5980881	0.01238439	20	4.337959	2.915085	7.253044
	169	K1K1	2	1	--->	K1L3	4	1	11599.72	1.36002E-05	0.5980881	0.01887064	20	4.024892	2.704705	6.729597
	170	K1K1	2	1	--->	K1L3	4	2	11599.66	5.29423E-06	0.5980881	0.007345871	20	4.024313	2.704316	6.728629
	171	K1K1	2	1	--->	K1L3	4	3	11599.23	1.45018E-05	0.5980881	0.02012091	20	4.02508	2.704832	6.729911
	172	K1K1	2	1	--->	K1L3	4	4	11597.97	4.27597E-05	0.5980881	0.05932149	20	4.017804	2.699942	6.717746
	173	K1K1	2	1	--->	K1L3	4	5	11595.33	7.89116E-07	0.5980881	0.001094509	20	4.023974	2.704089	6.728063
	174	K1K1	2	1	--->	K1L3	4	6	11585.77	0.009368484	0.5980881	12.98343	20	4.336951	2.914407	7.251358
	175	K1K1	2	1	--->	K1L3	4	7	11585.51	0.1831626	0.5980881	253.8323	20	4.335618	2.913512	7.24913
	176	K1K1	2	1	--->	K1L3	4	8	11583.72	0.000492501	0.5980881	0.6824174	20	4.333203	2.911889	7.245092
	177	K1K1	2	1	--->	K1M1	0	1	12885.12	4.33927E-08	0.5980881	6.68806E-05	20	4.40237	2.958368	7.360738
	178	K1K1	2	1	--->	K1M1	0	2	12879.54	7.85363E-11	0.5980881	1.20995E-07	20	4.453013	2.9924	7.445413
	179	K1K1	2	1	--->	K1M1	0	3	12875.41	7.152E-13	0.5980881	1.1015E-09	20	4.451232	2.991204	7.442436
	180	K1K1	2	1	--->	K1M1	2	1	12886.01	6.03003E-08	0.5980881	9.29465E-05	20	4.394835	2.953305	7.34814
	181	K1K1	2	1	--->	K1M1	2	2	12885.41	3.84475E-10	0.5980881	5.92601E-07	20	4.407843	2.962046	7.369889
	182	K1K1	2	1	--->	K1M1	2	3	12884.8	6.94463E-08	0.5980881	0.000107034	20	4.406152	2.96091	7.367063
	183	K1K1	2	1	--->	K1M1	2	4	12883.94	3.75166E-10	0.5980881	5.78186E-07	20	4.39284	2.951965	7.344805
	184	K1K1	2	1	--->	K1M1	2	5	12881.33	5.88156E-11	0.5980881	9.0625E-08	20	4.400003	2.956778	7.356781
