"8027.52	","	2.93764"
"8027.53	","	2.96834"
"8027.54	","	3.00721"
"8027.55	","	2.97103"
"8027.56	","	2.99374"
"8027.57	","	3.02954"
"8027.58	","	3.02227"
"8027.59	","	2.97955"
"8027.6	","	3.04103"
"8027.61	","	3.06455"
"8027.62	","	3.03875"
"8027.63	","	2.99669"
"8027.64	","	3.02392"
"8027.65	","	3.07108"
"8027.66	","	3.06602"
"8027.67	","	3.03207"
"8027.68	","	3.0574"
"8027.69	","	3.02847"
"8027.7	","	3.08278"
"8027.71	","	3.02843"
"8027.72	","	3.08972"
"8027.73	","	3.15096"
"8027.74	","	3.09769"
"8027.75	","	3.09889"
"8027.76	","	3.10165"
"8027.77	","	3.09937"
"8027.78	","	3.07141"
"8027.79	","	3.08962"
"8027.8	","	3.09054"
"8027.81	","	3.09574"
"8027.82	","	3.07892"
"8027.83	","	3.10039"
"8027.84	","	3.10153"
"8027.85	","	3.08452"
"8027.86	","	3.15342"
"8027.87	","	3.09967"
"8027.88	","	3.09095"
"8027.89	","	3.11958"
"8027.9	","	3.13338"
"8027.91	","	3.1058"
"8027.92	","	3.13887"
"8027.93	","	3.1273"
"8027.94	","	3.1146"
"8027.95	","	3.13764"
"8027.96	","	3.15417"
"8027.97	","	3.12656"
"8027.98	","	3.14019"
"8027.99	","	3.11329"
"8028	","	3.07115"
"8028.01	","	3.12024"
"8028.02	","	3.129"
"8028.03	","	3.11653"
"8028.04	","	3.0591"
"8028.05	","	3.08365"
"8028.06	","	3.07463"
"8028.07	","	3.11944"
"8028.08	","	3.10824"
"8028.09	","	3.0388"
"8028.1	","	3.08437"
"8028.11	","	3.07969"
"8028.12	","	3.06954"
"8028.13	","	3.01866"
"8028.14	","	3.06769"
"8028.15	","	3.04598"
"8028.16	","	3.11291"
"8028.17	","	3.0479"
"8028.18	","	3.03791"
"8028.19	","	3.02884"
"8028.2	","	3.0111"
"8028.21	","	3.01898"
"8028.22	",1
"8028.23	",1
"8028.24	",1
"8028.25	",1
"8028.26	",1
