# Atomic number Z= 29  Date:04-11-2021

# Record	Shelli	  2Ji		  Eigi --->		Shellf	  2Jf			Eigf		   Energy (eV)			 Rate(1/s)			 Width(eV)
	 160	   K1	    2	         1 ---> 	 L1L3	    3	         1	     6.9017778E+03	        0.00256735	           1.52289
	 161	   K1	    2	         1 ---> 	 L1L3	    5	         1	     6.9019859E+03	         0.0098197	           1.52289
	 162	   K1	    2	         1 ---> 	 L2L2	    1	         3	     6.9912295E+03	         0.0126038	           1.52289
	 163	   K1	    2	         1 ---> 	 L2L3	    3	         3	     7.0202995E+03	         0.0666272	           1.52289
	 164	   K1	    2	         1 ---> 	 L2L3	    5	         2	     7.0203316E+03	          0.100253	           1.52289
	 165	   K1	    2	         1 ---> 	 L2L3	    1	         2	     7.0307674E+03	       3.93962e-05	           1.52289
	 166	   K1	    2	         1 ---> 	 L2L3	    3	         2	     7.0309034E+03	       7.27302e-05	           1.52289
	 167	   K1	    2	         1 ---> 	 L3L3	    1	         1	     7.0355989E+03	        0.00404469	           1.52289
	 168	   K1	    2	         1 ---> 	 L3L3	    3	         1	     7.0487654E+03	         0.0104416	           1.52289
	 169	   K1	    2	         1 ---> 	 L3L3	    5	         1	     7.0489600E+03	         0.0145087	           1.52289
	 170	   K1	    2	         1 ---> 	 L1M1	    1	         2	     7.7281328E+03	        0.00763896	           1.52289
	 171	   K1	    2	         1 ---> 	 L1M1	    1	         1	     7.7291767E+03	       1.28145e-06	           1.52289
	 172	   K1	    2	         1 ---> 	 L1M1	    3	         1	     7.7293732E+03	       3.60337e-05	           1.52289
	 173	   K1	    2	         1 ---> 	 L1M2	    3	         3	     7.7724006E+03	        0.00457669	           1.52289
	 174	   K1	    2	         1 ---> 	 L1M2	    1	         3	     7.7724671E+03	        0.00124495	           1.52289
	 175	   K1	    2	         1 ---> 	 L1M2	    1	         2	     7.7732929E+03	        0.00139155	           1.52289
	 176	   K1	    2	         1 ---> 	 L1M3	    1	         1	     7.7749798E+03	        0.00157373	           1.52289
	 177	   K1	    2	         1 ---> 	 L1M3	    3	         2	     7.7752655E+03	        0.00159987	           1.52289
	 178	   K1	    2	         1 ---> 	 L1M3	    3	         1	     7.7756495E+03	        0.00195687	           1.52289
	 179	   K1	    2	         1 ---> 	 L1M3	    5	         1	     7.7762992E+03	        0.00131435	           1.52289
	 180	   K1	    2	         1 ---> 	 L1M5	    5	         3	     7.8515446E+03	       2.23336e-05	           1.52289
	 181	   K1	    2	         1 ---> 	 L1M5	    3	         3	     7.8515637E+03	       1.20357e-05	           1.52289
	 182	   K1	    2	         1 ---> 	 L1M4	    3	         2	     7.8535397E+03	         2.453e-05	           1.52289
	 183	   K1	    2	         1 ---> 	 L1M5	    5	         2	     7.8537869E+03	         3.021e-05	           1.52289
	 184	   K1	    2	         1 ---> 	 L1M4	    1	         1	     7.8540250E+03	       4.79131e-05	           1.52289
	 185	   K1	    2	         1 ---> 	 L1M4	    3	         1	     7.8541122E+03	       9.07275e-05	           1.52289
	 186	   K1	    2	         1 ---> 	 L1M5	    5	         1	     7.8542367E+03	       0.000128609	           1.52289
	 187	   K1	    2	         1 ---> 	 L1M5	    7	         1	     7.8543804E+03	       0.000166019	           1.52289
	 188	   K1	    2	         1 ---> 	 L1N1	    1	         1	     7.8632927E+03	        0.00024697	           1.52289
	 189	   K1	    2	         1 ---> 	 L2M1	    1	         3	     7.8732649E+03	       0.000640333	           1.52289
	 190	   K1	    2	         1 ---> 	 L2M1	    3	         3	     7.8734433E+03	        0.00284298	           1.52289
	 191	   K1	    2	         1 ---> 	 L2M1	    1	         2	     7.8743916E+03	       0.000481745	           1.52289
	 192	   K1	    2	         1 ---> 	 L3M1	    3	         2	     7.8926888E+03	         0.0027653	           1.52289
	 193	   K1	    2	         1 ---> 	 L3M1	    1	         1	     7.8927556E+03	        0.00198946	           1.52289
	 194	   K1	    2	         1 ---> 	 L3M1	    3	         1	     7.8943985E+03	       0.000326724	           1.52289
	 195	   K1	    2	         1 ---> 	 L3M1	    5	         1	     7.8945567E+03	       0.000892536	           1.52289
	 196	   K1	    2	         1 ---> 	 L2M2	    1	         6	     7.9154966E+03	        0.00204803	           1.52289
	 197	   K1	    2	         1 ---> 	 L2M3	    3	         7	     7.9212213E+03	        0.00838889	           1.52289
	 198	   K1	    2	         1 ---> 	 L2M3	    5	         4	     7.9215157E+03	         0.0126466	           1.52289
	 199	   K1	    2	         1 ---> 	 L2M3	    1	         5	     7.9222275E+03	        3.6919e-06	           1.52289
	 200	   K1	    2	         1 ---> 	 L2M3	    3	         6	     7.9225978E+03	       8.37253e-05	           1.52289
	 201	   K1	    2	         1 ---> 	 L2M2	    3	         4	     7.9230776E+03	       1.13898e-05	           1.52289
	 202	   K1	    2	         1 ---> 	 L2M2	    3	         5	     7.9230942E+03	       8.77157e-05	           1.52289
	 203	   K1	    2	         1 ---> 	 L2M2	    1	         4	     7.9232645E+03	       7.28824e-06	           1.52289
	 204	   K1	    2	         1 ---> 	 L3M2	    5	         3	     7.9394987E+03	         0.0120928	           1.52289
	 205	   K1	    2	         1 ---> 	 L3M2	    1	         2	     7.9398974E+03	        6.1638e-06	           1.52289
	 206	   K1	    2	         1 ---> 	 L3M2	    3	         3	     7.9401375E+03	        8.3616e-05	           1.52289
	 207	   K1	    2	         1 ---> 	 L3M2	    3	         2	     7.9406422E+03	        0.00032079	           1.52289
	 208	   K1	    2	         1 ---> 	 L3M2	    5	         2	     7.9408421E+03	       0.000478161	           1.52289
	 209	   K1	    2	         1 ---> 	 L3M3	    1	         3	     7.9433017E+03	        0.00211076	           1.52289
	 210	   K1	    2	         1 ---> 	 L3M3	    5	         1	     7.9454639E+03	       8.94609e-06	           1.52289
	 211	   K1	    2	         1 ---> 	 L3M3	    7	         1	     7.9458641E+03	       4.32691e-05	           1.52289
	 212	   K1	    2	         1 ---> 	 L3M3	    1	         1	     7.9459035E+03	        1.8568e-06	           1.52289
	 213	   K1	    2	         1 ---> 	 L3M3	    3	         1	     7.9459645E+03	       6.94191e-06	           1.52289
	 214	   K1	    2	         1 ---> 	 L2M4	    3	         7	     7.9991707E+03	       8.91898e-06	           1.52289
	 215	   K1	    2	         1 ---> 	 L2M4	    1	         4	     7.9993681E+03	       1.56885e-06	           1.52289
	 216	   K1	    2	         1 ---> 	 L2M5	    5	         7	     8.0000312E+03	       0.000663555	           1.52289
	 217	   K1	    2	         1 ---> 	 L2M5	    7	         4	     8.0003000E+03	       0.000578383	           1.52289
	 218	   K1	    2	         1 ---> 	 L2M5	    3	         6	     8.0007628E+03	       4.31758e-06	           1.52289
	 219	   K1	    2	         1 ---> 	 L2M5	    5	         6	     8.0010622E+03	       1.68632e-05	           1.52289
	 220	   K1	    2	         1 ---> 	 L2M4	    5	         5	     8.0022631E+03	       0.000114926	           1.52289
	 221	   K1	    2	         1 ---> 	 L2M4	    3	         5	     8.0024679E+03	       0.000142628	           1.52289
	 222	   K1	    2	         1 ---> 	 L2N1	    1	         1	     8.0106607E+03	       2.77264e-05	           1.52289
	 223	   K1	    2	         1 ---> 	 L3M5	    1	         3	     8.0194891E+03	       6.15238e-06	           1.52289
	 224	   K1	    2	         1 ---> 	 L3M5	    3	         4	     8.0196154E+03	       7.49531e-06	           1.52289
	 225	   K1	    2	         1 ---> 	 L3M5	    5	         4	     8.0199283E+03	       0.000460849	           1.52289
